coding	meaning
Y5700	Breast feeding started
Y5701	Breast feeding stopped
Y5705	Breast lump local excision
Y5707	Breast operations
Y5708	Breast plastic surgery NOS
Y5709	Breast screen abnorm.-told pat
Y5710	Breast screen non-attender
Y5711	Breast screen requested
Y5713	Breast symptoms/signs NOS
Y5717	Breech extraction op.
Y5718	Breech/instrument del. op. NOS
Y5719	Brief examn. of resp. system
Y5722	Bronchodilators used 1/day
Y5726	Bronchus FB - incision removal
Y5728	Bruise - abdominal wall
Y5729	Bruise - back
Y5730	Bruise - breast
Y5732	Bruise - chest wall
Y5733	Bruise - eye
Y5734	Bruise - eye NOS
Y5737	Bruise - face NOS
Y5740	Bruise - lower limb
Y5741	Bruise - lower limb NOS
Y5742	Bruise - neck
Y5743	Bruise - nose
Y5744	Bruise - scalp
Y5748	Bruise - upper limb
Y5749	Bruise - upper limb NOS
Y5751	Building soc.counter cashier
Y5753	Burn - arm
Y5755	Burn - arm - erythema
Y5770	Burn - head - NOS
Y5772	Burn - leg/foot - blister
Y5774	Burn - leg/foot - NOS
Y5777	Burn - pharynx
Y5784	Burn - wrist/hand - erythema
Y5785	Burn - wrist/hand - NOS
Y5786	Burning of skin [D]
Y5788	Burr holes
Y5792	Bursitis - hand
Y5793	Bursitis - hip
Y5798	C/O - post nasal drip
Y5799	C/O: perineal pain
Y5812	Ca ovary
Y5815	Ca thyroid
Y5820	Caesarean section op. NOS
Y5821	Caesarean section operation
Y5823	Calculus of gall bladder
Y5825	Carbon monoxide - toxic effect
Y5838	Cardiac function tests
Y5840	Cardiac neuroses
Y5841	Cardiac pacemaker implanted
Y5842	Cardiac pacemaker NOS
Y5845	Cardiorespiratory failure [D]
Y5852	Caretakers
Y5854	Carotid artery occluded
Y5859	CAT scan - abdomen
Y5860	CAT scan - brain
Y5861	CAT scan - face
Y5862	CAT scan - neck
Y5863	CAT scan - pelvis
Y5866	Cataract extract +lens implant
Y5867	Cataract extraction unspec.
Y5868	Cataract screen
Y5871	Catheter urine -> culture.
Y5874	Causes of accidents NOS
Y5877	Cellulitis - leg - excl. foot
Y5878	Cellulitis/abscess - arm
Y5881	Cephalosporin/cephamycin react
Y5887	Cerv.smear: borderline changes
Y5888	Cerv.smear:severe dysk.?inv.ca
Y5889	Cervical canal dilatation
Y5890	Cervical disc lesion-displaced
Y5891	Cervical disorder NOS
Y5893	Cervical lymph node -radic.exc
Y5894	Cervical polyp excision
Y5896	Cervical smear screen admin.
Y5897	Cervical smear: ? gland neopl.
Y5899	Cervical smear:atrophic change
Y5900	Cervical smear:inadequate spec
Y5902	Cervical spond.- no myelopathy
Y5903	Cervical spond.with myelopathy
Y5906	Change in voice [D]
Y5913	Chemical scientists
Y5914	Chest discomfort [D]
Y5915	Chest lump [D]
Y5920	Chest pressure [D]
Y5922	Chest sounds abnormal NOS [D]
Y5925	Chest tightness [D]
Y5987	Child exam.: spine
Y6014	Choking sensation [D]
Y6016	Cholecystotomy - GB incision
Y6019	Cholecystotomy NOS
Y6024	Choledochotomy NOS
Y6028	Chondrodermat nodular helicis
Y6030	Choroid lesion destruction
Y6031	Chr dis monitor - 1st recall
Y6032	Chr dis monitor - 2nd recall
Y6033	Chr dis monitor - 3rd recall
Y6034	Chr disease - drug resistance
Y6035	Chr. airway obstruction NOS
Y6038	Chr.dis.- follow up assessment
Y6041	Chr.dis.- treatment changed
Y6042	Chr.dis.-drug compliance check
Y6046	Chr.dis-default from follow-up
Y6048	Chr.obst. pulm. dis. screen
Y6052	Chronic bronchitis, acute exac
Y6054	Chronic dis monitoring check
Y6055	Chronic iridocyclitis
Y6056	Chronic obst. pulm. dis. NOS
Y6061	Chronic pulmonary heart dis.
Y6062	Chronic purulent otitis media
Y6064	Chronic serous otitis media
Y6068	Civil eng.- consultancy/advice
Y6070	Civil eng.-feasability studies
Y6071	Cleaners
Y6073	Cleft lip plastic operation
Y6076	Climacteric symptoms
Y6078	Close heart septal defect
Y6081	Closed reduction - # elbow
Y6085	Closed reduction - # hip
Y6088	Closed reduction - # shoulder
Y6094	Closed reduction- # nasal bone
Y6097	Closed reduction-#tibia/fibula
Y6104	Coagulation/bleeding tests
Y6107	Cobalt,blood level abnormal[D]
Y6109	Colic [D]
Y6111	Colicky abdominal pain
Y6139	Cong.genu valgum (knock-knee)
Y6165	Contact dermatitis:medicaments
Y6198	Convulsions, infantile [D]
Y6225	Cramps, abdominal [D]
Y6287	Debility, unspecified [D]
Y6321	Diagn. asp. spermatocoele
Y6322	Diagn. aspiration cyst
Y6327	Diagn. aspiration/puncture NOS
Y6335	Diaphragmatic hern.complicated
Y6336	Diathermy to cervix
Y6337	Diet - patient initiated
Y6339	Difficulty in swallowing [D]
Y6340	Digestive symptoms NOS [D]
Y6342	Digestive system disease NOS
Y6343	Digestive system symptoms [D]
Y6345	Dilatation of colostomy
Y6347	Dilatation of oesophagus
Y6348	Diplopia - double vision
Y6349	Diplopia/double vision
Y6350	Direct (conjugated) bilirubin
Y6352	Direct oesophagoscopy
Y6354	Disabled driver reprt requestd
Y6363	Discharged from hosp. care NOS
Y6368	Disl.knee + lat. meniscus tear
Y6370	Dislocat. nasal septum reduced
Y6373	Dislocated ankle reduced
Y6374	Dislocated finger
Y6379	Dislocated knee NOS
Y6381	Dislocated nasal bone reduced
Y6382	Dislocated patella reduced
Y6387	Dislocated thumb
Y6391	Disorders of adrenal glands
Y6392	Disorders of conjunctiva
Y6393	Disorders of penis NOS
Y6394	Disorders of stomach function
Y6396	Disorders of uterus NOS
Y6403	Diverticular disease NOS
Y6405	Dizziness [D]
Y6407	Dizziness and giddiness NOS[D]
Y6408	Does not have nose bleeds
Y6411	Downs screening - blood sent
Y6417	Drowsiness [D]
Y6418	Drug psychoses
Y6420	Drug reaction - Penicillin
Y6421	Drug reaction - tetracycline
Y6422	Drug reaction NOS
Y6423	Drug reaction: anaesthetic
Y6426	Drug reaction: antibiotic
Y6427	Drug reaction: anticonvulsant
Y6428	Drug reaction: beta-blocker
Y6431	Drug reaction: CNS drug
Y6434	Drug reaction: CVS drug NOS
Y6439	Drug reaction: GIT drug
Y6440	Drug reaction: opiate/narcotic
Y6441	Drug reaction: paracetamol
Y6442	Drug reaction: salicylate
Y6443	Drug reaction: antiinflam analg
Y6444	Drug reaction: nicotine
Y6451	DTP (triple)+polio vacc. NOS
Y6454	DU - acute NOS
Y6458	DU - chronic NOS
Y6466	Dysphagia [D]
Y6467	Dysphagia NOS [D]
Y6468	Dysphonia [D]
Y6469	Dysplasia of cervix
Y6470	Dyspnoea [D]
Y6471	Dysuria [D]
Y6472	Dysuria NOS [D]
Y6475	E.N.T. swab taken NOS
Y6476	E.U.A.
Y6484	Ecchymoses, spontaneous [D]
Y6490	ECG: P wave
Y6491	ECG: partial A-V block - 2:1
Y6493	ECG: partial sinu-atrial block
Y6496	ECG: P-R interval prolonged
Y6497	ECG: P-R interval shortened
Y6498	ECG: Q wave
Y6504	ECG: Q-T interval prolonged
Y6510	ECG: S-T depression
Y6511	ECG: S-T elevation
Y6513	ECG: T wave
Y6514	ECG: T wave flattened
Y6515	ECG: T wave inverted
Y6518	ECG:partial A-V block-long P-R
Y6519	Echocardiogram abnormal [D]
Y6522	Ectopic beats/extrasystoles
Y6530	Effusion - elbow joint
Y6537	Effusion - wrist joint
Y6538	Effusion of joint
Y6540	Elbow joint stiffness
Y6547	Elect.sinus rhythm conversion
Y6558	Electroconvulsive therapy -ECT
Y6559	Electroencephalogram
Y6564	Elevated sedimentation rate[D]
Y6565	Embolus/thrombus artery NOS
Y6566	Emergency admission asthma
Y6570	Emigration medical - + tests
Y6571	Emmigration examination
Y6574	Employment medical exams.
Y6575	Employment medical-examination
Y6576	Employment report-no exam.
Y6577	ENA antibody level
Y6578	Encephalopathy NOS
Y6580	Endo retro cholangiopancreatog
Y6583	Endosc removal ureteric stent
Y6585	Endoscop insert ureteric stent
Y6586	Endoscopic colon biopsy
Y6591	Endoscopy: gastrointestinal
Y6592	Endoscopy: respiratory system
Y6595	Endoscopy: gastrointestinal NOS
Y6599	Engineering machining
Y6601	Enterovirus meningitis
Y6602	Entitled to prescription exemp
Y6606	Epididymis lesion excised
Y6609	Epigastric hernia - simple
Y6610	Epigastric pain [D]
Y6612	Epistaxis [D]
Y6613	Epistaxis control -cryosurgery
Y6614	Epistotomy repair
Y6616	Erythematous conditions
Y6617	ESWL - renal calculus
Y6618	ESWL - ureteric calculus
Y6621	Eustachian catarrh
Y6622	Evacuation by drainage
Y6626	Ex cigar smoker
Y6627	Ex pipe smoker
Y6628	Ex smoker
Y6634	Exam. for suspected TB
Y6635	Exam. for work accident
Y6638	Exanthem [D]
Y6644	Excision intradermal naevi
Y6645	Excision lipoma
Y6646	Excision of skin NOS
Y6647	Excision papilloma
Y6648	Excision skin lesion-histology
Y6656	Exploration of thyroid
Y6657	Explosive accident NOS
Y6663	Ext.beam + chemotherapy
Y6671	External ear disorders NOS
Y6674	External ear plastic operat.
Y6675	External haemorrhoids - simple
Y6676	External radiotherapy
Y6677	Extr nuclear antigen negative
Y6679	Extracapsular lens extraction
Y6685	Eye diseases
Y6686	Eye disorders NOS
Y6690	Eyeball removal
Y6691	Eyelid operations NOS
Y6694	F.B. left in hand
Y6696	F.B. left in knee
Y6701	Face lift surgery
Y6703	Facial # -closed reduction NOS
Y6712	Facial nerve disorders
Y6727	Fall - ladders/scaffolding
Y6728	Fall - one level to another
Y6729	Fall - stairs/steps
Y6734	Fallopian insufflation - dye
Y6737	Fallopian tube insufflation
Y6738	Fallopian tube lesion excision
Y6742	Fallopian tuboplasty
Y6750	Fascia lesion excised
Y6753	Fatigue [D]
Y6754	FB in orifice NOS
Y6763	Female genital operation NOS
Y6770	Female pelvic inflam. dis. NOS
Y6776	Femoral hernia - complicated
Y6777	Femoral herniorrhapy - unilat.
Y6784	Feto/placental hormones NOS
Y6794	FH: Mental disorder
Y6798	FH: pernicious anaemia
Y6806	Finance/invest./ins.clerk NOS
Y6808	Fire officers
Y6815	Fistula contrast radiography
Y6817	Fitness to attend school exam.
Y6818	Fitness to travel exam.
Y6819	Flat foot - pes planus
Y6820	Flatulence [D]
Y6821	Flatulence NOS [D]
Y6823	Flu like illness NOS
Y6833	Fluoroscopy - gall bladder
Y6839	Flushing [D]
Y6840	Folate deficiency anaemia
Y6841	Follow up (wait and see)
Y6842	Follow up 6 weeks
Y6844	Follow up visit
Y6845	Follow-up neurol. assessment
Y6849	Food-handler medical exam.
Y6850	Foot abnormal-diabetes related
Y6851	Foot bone fusion
Y6854	Forced vital capacity - FVC
Y6855	Forceps head rotation op.
Y6862	Foreign body accident: eye
Y6864	Foreign body accidents
Y6865	Foreign body in ext. eye NOS
Y6869	Foreign body in pharynx-throat
Y6870	Foreign body in resp.syst. NOS
Y6878	Found dead [D]
Y6879	Fracture malunion - fore arm
Y6880	Fracture malunion-pelvis/thigh
Y6884	Free T3 level
Y6885	Free T4 level
Y6888	Frenumectomy - tongue
Y6889	Frequency of micturit. NOS [D]
Y6895	Full blood count - FBC
Y6896	Full post-natal examination
Y6897	Full resp. system examination
Y6898	Further asthma - drug prevent.
Y6899	FW 8-applic for presc exempt
Y6900	Gait abnormality [D]
Y6902	Galactassaemia screen
Y6904	Gall bladder repair
Y6908	Gammaglobulin admin. NOS
Y6910	Ganglion/synov.cyst - elbow
Y6911	Ganglion/synov.cyst - hand
Y6912	Ganglion/synov.cyst - hip
Y6913	Ganglion/synov.cyst - knee
Y6914	Ganglion/synov.cyst - multiple
Y6915	Ganglion/synov.cyst - NOS
Y6917	Ganglion/synov.cyst - wrist
Y6918	Ganglion/synov.cyst-ankle/foot
Y6922	Gastric irrigation - lavage
Y6923	Gastritis/duodenitis NOS
Y6932	General symptoms [D]
Y6934	General well - being schedule
Y6935	Generalised pain [symptom]
Y6936	Generalised swelling
Y6938	Genitourinary dis. screen NOS
Y6945	Geriatric 75 year screen
Y6952	Geriatric monitor. check done
Y6956	Geriatric screen - seen
Y6957	Geriatric screen admin.
Y6958	Geriatric screen admin. NOS
Y6959	Giddiness [D]
Y6960	GIT complications
Y6962	Glaucoma screen
Y6965	Gluten free diet
Y6966	Glycosuria [D]
Y6968	GMS4 cont (nonIUCD) up to date
Y6969	Goitre - simple, unspecified
Y6970	Gonococcal infections
Y6971	Gout screen
Y6972	Govt.dept.employee-examination
Y6973	Govt.dept.employee-report only
Y6975	Gravida status
Y6976	Grenz ray therapy - up to 10Kv
Y6985	GU - chronic NOS
Y6986	Gynae. dis. monitoring NOS
Y6987	Gynae. disorder monitoring
Y6988	Gynae. follow-up assessment
Y6989	Gynae. treatment changed
Y6990	Gynae.dis.treatment started
Y6991	Gynae.dis.treatment stopped
Y6992	Gynae.disorder: initial assess
Y6996	H/O: cardiac surgery
Y6998	H/O: myocardial infarct <60
Y6999	H/O: myocardial infarct >60
Y7000	H/O: post-coital bleeding
Y7001	H/O: post-partum haemorrhage
Y7003	H/O: splenectomy
Y7006	Haemarthrosis - ankle/foot
Y7010	Haemarthrosis - knee joint
Y7023	Haemoptysis [D]
Y7024	Haemoptysis NOS [D]
Y7026	Haemorrhoidectomy: crushing
Y7027	Haemorrhoids - NOS
Y7028	Haemorrhoids - obstetric
Y7029	Haemorrhoids - piles
Y7030	Haemorrhoids sclerosing inj.
Y7031	Haemorrhoids: ligate/excise
Y7033	Halitosis [D]
Y7034	Hallucinations [D]
Y7038	Hallucinations, olfactory [D]
Y7040	Hallux valgus bunionectomy
Y7041	Hallux valgus ostectomy
Y7042	Hammer toe - acquired
Y7045	Hand joint stiffness
Y7046	Hand plastic op. + implant
Y7053	Hare lip
Y7055	Has eye pain
Y7056	Has flu vaccination at hosp.
Y7060	Has nose bleeds - epistaxis
Y7061	Has pins and needles
Y7062	HbA1 < 7% - good control
Y7063	HbA1 > 10% - bad control
Y7064	HbA1 7 - 10% - borderlne contr
Y7065	Head and neck symptoms [D]
Y7072	Headache [D]
Y7073	Headache symptom NOS [D]
Y7074	Health ed. - alcohol
Y7075	Health ed. - breast exam.
Y7077	Health ed. - exercise
Y7078	Health ed. testicular examin.
Y7080	Hearing loss NOS
Y7081	Heart disease screen
Y7082	Heart disease screen - risk
Y7083	Heart disease screen NOS
Y7084	Heart murmur [D]
Y7085	Heart murmur NOS [D]
Y7086	Heart murmur, benign [D]
Y7087	Heart murmur, functional [D]
Y7088	Heart murmur, innocent [D]
Y7089	Heart murmur, undiagnosed [D]
Y7091	Heart sounds, abnormal [D]
Y7101	Heartburn NOS [D]
Y7102	Heat cramps
Y7106	Heavy goods vehicle exam.
Y7110	Heavy smoker - 20-39 cigs/day
Y7112	Helicobact breath test pos
Y7113	Helicobact eradication therapy
Y7114	Helicobacter breath test
Y7115	Hepatitis A non immune
Y7116	Hepatitis ant.radioimmunoassay
Y7117	Hepatitis B surface antig +ve
Y7119	Hepatomegaly [D]
Y7121	Herpetic stomatitis
Y7127	Hip joint stiffness
Y7128	Hip reconstruction
Y7130	History / symptoms
Y7131	HLA B27 antigen screen
Y7133	Hoarseness [D]
Y7136	Horm repl monitor check done
Y7138	Hormone implant operation
Y7142	Hormone repl monitor default
Y7145	House rented from housing ass.
Y7146	House rented-private landlord
Y7147	HP clinic check done+claimable
Y7148	HTLV-3 antibody test
Y7151	Hyperaesthesia [D]
Y7153	Hyperhidrosis [D]
Y7160	Hypersomnia + sleep apnoea [D]
Y7161	Hyperten.monitor offer default
Y7163	Hypertension of preg. NOS
Y7164	Hypertension screen
Y7165	Hypertension screen admin.
Y7166	Hypertension screen admin. NOS
Y7170	Hypertrophy - nasal turbinates
Y7171	Hyperventilation [D]
Y7172	Hypoaesthesia [D]
Y7173	Hypochondrial pain [D]
Y7178	Hysterosalpingography
Y7179	I/patient disch summary recvd
Y7181	Ideal weight
Y7182	Ileostomy closed
Y7190	Immunisat. screen NOS
Y7193	Immuno-electrophor. abnormal
Y7194	Immuno-electrophoresis
Y7196	Immuno-electrophoresis NOS
Y7197	Immunoglobulin level raised[D]
Y7199	Incise renal pelvis -pyelotomy
Y7200	Incision of bone
Y7202	Incision of skin NOS
Y7204	Incisional hernia repair
Y7205	Incomplete spontaneous abortn.
Y7206	Incontinence of faeces [D]
Y7207	Incontinence of faeces NOS [D]
Y7208	Incontinence of urine [D]
Y7209	Incontinence of urine NOS [D]
Y7212	Independent: chair/bed transf.
Y7217	Individual psych. exam.
Y7221	Induration of skin [D]
Y7222	Industrial designers
Y7229	Infect.dis.prevent/control NOS
Y7230	Infected tiss. surgical toilet
Y7231	Infections of nipple - obst.
Y7234	Inflammation of eyelids
Y7243	Inguinal hernia - direct, NOS
Y7246	Inguinal herniorrhaphy-unilat.
Y7247	Inguinal herniotomy, bilateral
Y7248	Inguinal herniotomy, unilat.
Y7250	In-house opthalmology
Y7252	Initial ophth. assessment
Y7253	Initial psych. assessment
Y7256	Inject eye - local action
Y7258	Inject ligament - local action
Y7260	Injury to bladder
Y7264	Injury to spleen
Y7272	Inorg.salt/vit. supplement NOS
Y7289	Insect bite: arm - non venom
Y7291	Insect bite: foot - non-venom
Y7292	Insect bite: hand - non-venom
Y7293	Insect bite: leg - non-venom
Y7302	Insertn coronary artery stent
Y7305	Insurance claim exam.
Y7307	Insurance medical-travel canc
Y7308	Insurance proposal exam.
Y7309	Insurance report-travel canc
Y7312	Intelligence quotient (IQ)
Y7317	Intermediate resp. syst. exam.
Y7329	Internal metabolic radiotherap
Y7333	Intervertebral disc excision
Y7336	Intra articular injection
Y7350	Intra-venous pyelogr.-general
Y7351	Intrinsic (allergic) eczema
Y7354	Investig. result counselling
Y7357	Iris/ciliary body operat. NOS
Y7358	Iron blood level abnormal [D]
Y7359	Iron deficiency screen
Y7362	Isotope - plasma volume
Y7366	Isotope lung perfusion scan
Y7368	Isotope static scan bone-marro
Y7369	Isotope uptake/excret studies
Y7371	I-V cholecystography
Y7373	I-V sclerosing injection NOS
Y7380	Joint incision - arthrotomy
Y7381	Joint lesion excised
Y7383	Joint pain NOS
Y7384	Juvenile osteochond. of spine
Y7386	Kidney excision - nephrectomy
Y7390	Knee joint stiffness
Y7391	Knee: meniscectomy
Y7392	Kyphoscoliosis/scoliosis-acqu.
Y7393	Lab. procedure - general - NOS
Y7394	Lab. test requested - not done
Y7395	Lab. test result abnormal
Y7397	Lab.tech.- general science
Y7398	Lab.technician - analysis
Y7401	Lab.technician - physics
Y7403	Laboratory technicians
Y7406	Laceration - eyelid
Y7408	Lacrimal operation NOS
Y7409	Lacrimal system disorders
Y7410	Lacrimal system syringe
Y7411	Lactose free diet
Y7412	Laminectomy - unspecified
Y7414	Laparoscopy/peritoneoscopy
Y7415	Laparotomy NOS
Y7417	Laparotomy: exploratory
Y7418	Laparotomy: FB removal
Y7419	Laparotomy: perit.adhes.divide
Y7425	Laser therapy - skin lesion
Y7433	Leg varic. vein sclerosing inj
Y7445	Lens operation NOS
Y7450	Lethargy [D]
Y7451	Leucocytosis -high white count
Y7453	Leukaemia - unspec. cell acute
Y7458	Life ass.exam.completed
Y7459	Life ass.exam.rep. sent off
Y7460	Life ass.prelim.rep.completed
Y7463	Life ass.prelim.rep.sent off
Y7464	Life ass.prelim.report NOS
Y7465	Life assurance - forms receivd
Y7466	Life assurance reprt requested
Y7467	Light smoker - 1-9 cigs/day
Y7468	Lightheadedness [D]
Y7472	Lingual tonsil excision
Y7476	Lipid lowering therapy
Y7477	Listed for admission to hosp.
Y7478	Listed for E.N.T. admission
Y7479	Listed for Neurosurgical admis
Y7480	Literary/artistic/sports occ.
Y7481	Lithium blood level abnorm.[D]
Y7490	Liver operations
Y7491	Liver scan abnormal [D]
Y7494	Local auth.employee-examinat.
Y7495	Local auth.employee-report
Y7498	Local govt. officer NOS
Y7501	Local superfic.swelling NOS[D]
Y7502	Loin pain [D]
Y7504	Long term assistance
Y7507	Loss of voice [D]
Y7509	Low forceps delivery op.
Y7511	Lower abd. soft tiss.X-ray NOS
Y7514	Lower respiratory tract infect
Y7515	Lower urinary tract stone NOS
Y7516	Lower uterine segment caesar.
Y7517	Lumbar disc lesion - displaced
Y7519	Lump in breast NOS
Y7520	Lump in head or neck [D]
Y7523	Lung function mildly obstruct.
Y7524	Lung function signific. obstr.
Y7525	Lung function testing
Y7528	Lung x-ray abnormal NOS [D]
Y7530	Lung x-ray, coin lesion [D]
Y7531	Lung x-ray, shadow [D]
Y7532	Lupus anticoagulant screen
Y7535	Lymph node excision
Y7536	Lymphadenopathy [D]
Y7539	Lymphocytosis - relative
Y7548	Maintenance technicians
Y7549	Malaise [D]
Y7550	Malaise and fatigue [D]
Y7551	Malaise and fatigue NOS [D]
Y7553	Male genital disorder NOS
Y7556	Male genital organ diseases
Y7558	Male sterilis. reversal NOS
Y7560	Male sterilisation operation
Y7563	Mammary gland contrast radiog.
Y7564	Mammogram abnormal [D]
Y7565	Manager - public utilities
Y7567	Managerial occupations
Y7573	Mandible - prosthesis
Y7580	Mass in head or neck [D]
Y7581	Mass, localized superficial[D]
Y7583	Mat B1 - cert of expected conf
Y7600	Mean corpusc. Hb. conc. (MCHC)
Y7601	Mean corpuscular volume (MCV)
Y7608	Mechanical catheter problem
Y7609	Mechanical engineers
Y7613	MED4 Doctors statement
Y7614	MED5 - doctors special stat.
Y7618	Medical equip. provision NOS
Y7619	Medical evaluation for rehab.
Y7625	Melanoma - head/neck
Y7626	Melanoma - lower limb
Y7627	Melanoma - trunk
Y7628	Melanoma - upper limb
Y7629	Melanoma of skin NOS
Y7634	Menstruation disorders
Y7635	Mental disorders
Y7687	Mother current breast feeding
Y7696	MRE kept,medico-legal reasons
Y7714	Musculo-skeletal operation NOS
Y7715	Musculoskeletal pain [D]
Y7718	Myalgia/myositis - fore-arm
Y7719	Mycoplasma pneumonia
Y7722	Myelography - general
Y7727	Myringotomy + grommet inserted
Y7728	Myringotomy-middle ear drained
Y7729	Nailing of bone
Y7730	Nappy rash : dermatitis
Y7731	Nasal polyps
Y7732	Nasal septal perf. closure
Y7733	Nasal septum-submucous resect.
Y7735	Nasal sinus operation NOS
Y7737	Nasal sinus puncture + irrigat
Y7741	Nausea [D]
Y7742	Nausea and vomiting [D]
Y7745	Neg./double contrast pyelogram
Y7746	Nephritis/nephrosis/neph syndr
Y7747	Nephropathy screen
Y7748	Nephrotomy + calculus removal
Y7752	Nerv/musculosk.symptom NOS [D]
Y7754	Nerv/musculoskeletal sympt.[D]
Y7755	Nerve repair
Y7756	Nerve root/plexus disorders
Y7757	Nerve stimulation abnormal [D]
Y7761	Neuralgia/neuritis - fore arm
Y7763	Neurol. dis. treatment changed
Y7764	Neurol.diag.proced. - done
Y7765	Neurol.diag.proced.- not done
Y7768	Neurol.disorder monitoring NOS
Y7769	Neuroses
Y7771	New patient screen
Y7772	New patient screen admin.
Y7773	New patient screen admin. NOS
Y7774	New patient screen default
Y7775	New patient screen deleted
Y7776	New patient screen done
Y7777	New patient screen NOS
Y7778	New patient screen phone inv.
Y7779	New patient screen verbal inv.
Y7780	New pt. screen-no abnormality
Y7782	New reg.check done + claimable
Y7783	NHS employee report-no exam.
Y7785	Night visit paid-higher rate
Y7786	Night visit paid-lower rate
Y7792	No consent - influenza imm.
Y7797	No consent - tetanus imm.
Y7798	No consent pneumococcal immun
Y7802	No current problems/disability
Y7804	No FH: Diabetes
Y7807	Nodule, subcutaneous [D]
Y7808	Non european travel
Y7809	Non functioning kidney
Y7811	Non toxic, multinodular goitre
Y7817	Non-rheum. aortic incompetence
Y7819	Non-rheum. mitral incompetence
Y7820	Non-rheumat atrial fibril
Y7821	Non-rheumatic valvular disease
Y7829	Nonspec cervical smear abn.[D]
Y7834	Nonspecific low BP reading [D]
Y7835	Non-specific urethritis
Y7836	Nonspecific urine findings [D]
Y7837	Nonspecific x-ray findings [D]
Y7846	Non-surg. endocervical biopsy
Y7849	Non-surg. endometrial biopsy
Y7854	Non-surg. female organ biopsy
Y7859	Non-surg. urinary biopsy NOS
Y7865	Non-surgical biopsy - admin
Y7868	Non-surgical biopsy: anus
Y7872	Non-urgent dermatology admisn.
Y7873	Non-urgent gynaecol.admission
Y7874	Non-urgent haematology admisn.
Y7875	Non-urgent hosp.admission unsp
Y7876	Non-urgent ophthalmolog.admisn
Y7877	Non-urgent orthopaedic admisn.
Y7879	Non-urgent plastic surg.admisn
Y7880	Non-urgent psychiatric admisn.
Y7881	NOS
Y7882	Nose bleed symptom
Y7883	Nose bleed symptom NOS
Y7886	Nose reconstructed
Y7890	Not interested in stop smoking
Y7897	Not up to date with immunisat.
Y7898	Numbness [D]
Y7900	Nursing/other home
Y7906	O.Lab with fetal malposition
Y7907	O/E - arterial wall cord like
Y7908	O/E - blood stained ear disch.
Y7909	O/E - blood stained vag. disch
Y7911	O/E - capilliary naevi present
Y7912	O/E - Cheyne-Stokes resp.
Y7917	O/E - height 10-20% < average
Y7922	O/E - lichenified skin
Y7929	O/E - retinal A-V nipping
Y7930	O/E - thyroid gland - NOS
Y7931	O/E - VE -uterine swelling
Y7938	O/E -raised intracranial press
Y7939	O/E: cholesterol gall stone
Y7940	O/E: gall stone
Y7941	O/E: gall stone NOS
Y7943	O/E-height > 20% below average
Y7945	O/E-red/green colour blindness
Y7960	Occult blood screen
Y7961	Ocular laceration
Y7963	Ocular m. myotomy
Y7966	Ocular muscle operations NOS
Y7968	Ocular penetration - FB
Y7972	Oedema NOS [D]
Y7975	Oedema, localized [D]
Y7977	Oesophageal disease NOS
Y7978	Oesophageal perforation
Y7981	Oesophageal webb rupture
Y7983	Oesophagostomy
Y7988	Oesophagus lesion excision
Y7989	Oesophagus operation NOS
Y7992	Oesteopathic manipulation
Y8005	Open # reduction+intern.fixat.
Y8010	Open wound - ankle
Y8014	Open wound - ear
Y8016	Open wound - eyebrow
Y8018	Open wound - foot
Y8019	Open wound - fore arm
Y8020	Open wound - forehead
Y8026	Open wound - knee
Y8028	Open wound - leg
Y8030	Open wound - lower limb
Y8035	Open wound - scalp
Y8037	Open wound - thigh
Y8039	Open wound - thumb
Y8040	Open wound - toe
Y8041	Open wound - upper arm
Y8044	Open wound - wrist
Y8046	Open wound NOS - lower limb
Y8049	Operation on brain NOS
Y8053	Operations to aid deliv. NOS
Y8059	Ophthalmic herpes zoster
Y8061	Oral contraceptive re-started
Y8062	Oral leukoplakia
Y8064	Oral/salivary/jaw dis. NOS
Y8069	Orchitis/epididymitis
Y8070	Orchitis/epididymitis NOS
Y8073	Oro-antral fistula repair
Y8078	Osteoarthritis - elbow joint
Y8079	Osteoarthritis - hip joint
Y8080	Osteoarthritis - knee joint
Y8081	Osteoarthritis - NOS
Y8082	Osteoarthritis - wrist joint
Y8083	Osteoarthritis -shoulder joint
Y8084	Osteochond dissecans
Y8085	Osteomyelitis NOS
Y8089	Osteomyelitis NOS - hand
Y8090	Osteomyelitis NOS - hip
Y8091	Osteomyelitis NOS - knee
Y8092	Osteomyelitis NOS - multiple
Y8095	Osteotomy - unspecified
Y8096	Otalgia - earache
Y8103	Other arthroplasty NOS
Y8108	Other candidiasis
Y8117	Other diagnostic radiology
Y8118	Other dislocation reduct. NOS
Y8120	Other electrical stim. NOS
Y8122	Other endocrine funct.study[D]
Y8126	Other fascia operations
Y8127	Other female genital disorders
Y8129	Other forceps delivery op.
Y8132	Other ill-defined condition[D]
Y8134	Other immunization (Rate A)
Y8135	Other immunization (Rate B)
Y8136	Other immunization claim
Y8139	Other inflam skin/subcut disea
Y8142	Other joint pain
Y8149	Other lymphatic op. NOS
Y8160	Other neoplasm screen NOS
Y8168	Other nutritional deficiencies
Y8181	Other skin/subcutan disorders
Y8182	Other skin/subcutaneous op.
Y8183	Other skin/subcutaneous op.NOS
Y8188	Other sympathectomy
Y8189	Other sympt.abdomen/pelvis [D]
Y8191	Other tendon operations NOS
Y8196	Other thyroid operations NOS
